PostID,UserID,PostDate,Content,Likes,Shares,Comments,HasMedia,Platform,UserFollowers
1,user_41,2025-06-07 19:32:00,Door dinner religious.,47,12,6,0,TikTok,8257
2,user_18,2025-05-30 20:44:54,Similar cold edge ready art structure.,43,10,7,0,Twitter,8424
3,user_48,2025-05-31 12:24:09,Phone skin which.,50,6,9,0,TikTok,9311
4,user_28,2025-06-15 04:44:50,Sea stock management.,53,10,9,0,Twitter,11168
5,user_14,2025-06-12 08:05:38,Land down forward remain central pretty huge economic.,46,8,8,0,TikTok,13092
6,user_13,2025-05-30 14:02:25,Pretty window wish power view very number rate want think determine morning large responsibility edge believe billion fine police science.,56,9,9,1,Twitter,12793
7,user_29,2025-05-30 07:22:16,Mission war rather positive mission adult perhaps learn try former.,40,13,5,1,Twitter,10261
8,user_49,2025-06-09 08:17:20,Statement team throw their contain task.,46,15,5,1,Instagram,9102
9,user_18,2025-06-22 13:15:19,Eight billion support room amount both.,63,13,10,0,Instagram,2034
10,user_7,2025-06-03 09:30:33,Spring month forget share position prepare admit.,44,8,8,1,Twitter,11036
11,user_23,2025-06-16 03:21:21,New work beat manage along cover political.,52,3,9,1,Twitter,14208
12,user_47,2025-05-31 16:24:53,Need two art view region organization fast book on prove single mother.,53,8,3,0,Instagram,5794
13,user_6,2025-06-05 13:52:04,Sell game natural these risk animal require life little story chance.,50,11,8,1,TikTok,13131
14,user_40,2025-06-18 00:16:48,Example state focus campaign send service president return act risk range with.,51,7,11,0,TikTok,11579
15,user_5,2025-06-10 12:16:51,Congress laugh customer bank either son.,61,12,9,0,Instagram,11273
16,user_6,2025-06-16 08:33:31,Vote tonight pay none huge.,51,9,11,0,Instagram,12821
17,user_18,2025-06-03 00:55:46,West build if strategy its from question return cup natural reach worry have than.,47,16,12,1,Twitter,10174
18,user_24,2025-06-21 18:30:27,View pull respond rate everybody activity.,60,12,15,0,TikTok,6571
19,user_18,2025-06-22 12:59:53,Billion happy recent tree management think usually exactly institution game.,52,10,3,0,TikTok,8584
20,user_41,2025-06-24 22:53:44,Couple everybody list cup level amount behind worry week.,41,13,8,0,Twitter,13266
21,user_30,2025-06-10 19:02:54,Easy old worker safe back attack different nothing.,46,8,6,1,TikTok,8575
22,user_45,2025-06-12 18:28:46,Sure act available treat member like information above economy stage possible line.,51,12,8,0,TikTok,8040
23,user_21,2025-06-09 02:29:47,Staff decade around despite doctor yard.,40,12,7,0,Twitter,9614
24,user_21,2025-06-06 01:28:09,Size floor condition read news just whatever hit imagine.,53,14,3,1,Twitter,8603
25,user_14,2025-06-10 06:53:39,Measure air play would race physical if reach popular manager source remain civil tell.,51,11,7,1,Twitter,8540
26,user_42,2025-06-03 07:19:31,Upon them end save spring growth high color economy resource.,46,8,13,1,TikTok,10622
27,user_30,2025-06-16 16:46:45,Nation whether deal senior.,63,9,8,1,Twitter,10972
28,user_16,2025-06-15 11:00:01,Wrong laugh something study employee general even put main successful follow your.,66,11,8,1,TikTok,9609
29,user_38,2025-06-24 02:44:13,Television behavior main next family food recently minute field important same.,51,15,5,1,Instagram,8700
30,user_15,2025-06-24 08:17:37,Want wind cost explain remember work.,57,5,13,1,Twitter,10611
31,user_49,2025-06-26 15:58:22,Nothing anything amount better worker.,50,10,9,0,Twitter,10208
32,user_41,2025-06-17 11:22:33,Young growth stand hot ok picture lose.,50,12,9,1,TikTok,12950
33,user_5,2025-06-04 14:03:06,Evening study ability society toward car during.,43,8,13,1,TikTok,12100
34,user_30,2025-06-10 02:04:00,Partner before focus language south relate political social watch show air not she street find nice.,59,6,12,1,TikTok,9603
35,user_1,2025-06-04 07:27:12,Station kid anything full indeed reality others agree may include would cut respond chance standard dark example.,58,9,10,0,TikTok,10509
36,user_35,2025-06-12 23:17:10,Company plan site although job camera indicate tonight charge better baby like.,51,9,5,1,Twitter,13459
37,user_19,2025-06-21 09:00:06,Protect consumer line million wish through wall protect watch respond.,52,9,11,0,Instagram,9981
38,user_1,2025-06-03 21:27:42,Everyone society above lose hospital look test skill.,46,7,4,0,TikTok,11209
39,user_7,2025-06-20 09:11:02,Sell brother require various pattern peace far factor health especially test.,43,15,4,1,TikTok,7553
40,user_33,2025-05-31 07:07:40,Second everybody water word stuff guess election air choice note person always morning generation next energy.,38,10,6,0,Twitter,8322
41,user_24,2025-06-10 19:07:38,Doctor card vote opportunity place experience music back.,36,7,7,0,TikTok,11729
42,user_21,2025-06-12 08:21:04,Thing dog dream order suggest financial peace carry heart response until two culture how prepare teach.,50,5,4,0,Twitter,10933
43,user_24,2025-06-21 18:16:39,Risk risk finish they claim structure become both deal my must land.,46,8,10,0,Twitter,7373
44,user_16,2025-06-06 06:54:28,Main field almost risk moment dark weight our ready never group investment item method.,53,11,4,0,Twitter,5851
45,user_47,2025-06-22 05:58:14,You radio need film standard pick stop follow site.,45,15,9,0,TikTok,11584
46,user_50,2025-06-16 21:56:39,Represent worker less second important production her staff.,51,8,6,0,TikTok,10622
47,user_31,2025-06-16 05:19:53,Commercial thousand teacher stage me church word suddenly seven every.,45,6,4,0,Instagram,8194
48,user_34,2025-06-05 02:53:50,Rich most life work field put north research low mouth building mention other enjoy truth put suddenly.,54,11,9,1,Twitter,12280
49,user_35,2025-06-07 10:51:33,Model national member real reason.,55,14,9,1,Instagram,9249
50,user_43,2025-06-04 01:13:39,Develop lay someone require enjoy city surface something until response follow.,47,8,10,1,Instagram,13903
51,user_34,2025-06-26 21:50:25,Us where shoulder already environmental continue third operation gun really nature most culture increase gas form.,41,11,6,0,Twitter,14529
52,user_15,2025-06-04 21:59:16,Figure development until everybody view win.,60,13,9,1,Twitter,11206
53,user_38,2025-06-03 17:06:36,Officer media reflect material politics once general voice job Mrs.,51,8,9,0,TikTok,15346
54,user_15,2025-06-08 22:05:38,Woman law share campaign small including.,62,6,13,0,TikTok,11770
55,user_41,2025-06-13 05:28:44,Page ask away.,48,8,3,0,Twitter,9310
56,user_3,2025-06-27 04:28:11,Them analysis compare small lot seat same.,47,9,8,0,TikTok,11884
57,user_16,2025-06-26 07:26:11,Play expect institution word special specific other past usually maintain or.,41,10,6,1,Twitter,17709
58,user_35,2025-06-21 21:51:44,Left Republican through top parent sport onto capital point.,49,9,9,1,Twitter,6678
59,user_31,2025-06-03 23:53:14,Six why likely family spring determine my reason pick particular star girl against soon leg.,42,12,4,0,Twitter,8426
60,user_7,2025-06-04 05:58:35,Race miss forward would charge stand business stop free local reflect health member.,53,5,8,1,Instagram,11468
61,user_28,2025-06-24 00:33:02,Actually capital perhaps professor fund character human participant majority experience maybe.,38,11,10,1,TikTok,10633
62,user_4,2025-06-26 12:40:44,Official success gas air choose lead speak produce soldier health coach argue marriage conference war.,56,14,7,0,Twitter,9709
63,user_26,2025-06-10 01:14:47,Series receive rule specific couple deal north believe down most pay.,41,6,4,0,Twitter,16016
64,user_13,2025-06-19 05:49:35,People read budget financial character especially left worry property.,58,11,7,1,Twitter,12152
65,user_28,2025-06-08 23:39:04,Day same fall to produce large.,55,11,10,1,Instagram,8273
66,user_16,2025-06-16 10:40:52,Tonight board recognize live across language.,50,8,6,1,TikTok,10366
67,user_7,2025-06-25 16:31:47,Near reflect over.,57,12,7,0,Twitter,13193
68,user_49,2025-06-01 02:41:11,Agreement a cost force protect Mr despite its or reality.,55,11,9,0,Instagram,10358
69,user_32,2025-05-28 17:35:35,Voice local important increase specific age along view area population level simply might discussion time land.,51,10,6,0,Instagram,10666
70,user_4,2025-06-08 21:12:08,Door market mention line force us rich.,47,4,7,1,Twitter,8563
71,user_25,2025-06-19 03:35:20,Piece maintain discuss several level their.,59,14,15,1,Instagram,5966
72,user_28,2025-05-29 11:15:05,Culture start office family guess view decade hour two culture into.,46,2,11,1,Twitter,7244
73,user_13,2025-06-02 05:15:17,Question whole bit now factor.,52,16,7,0,Twitter,14261
74,user_38,2025-06-18 11:13:22,Organization agreement eight commercial who seven everybody majority party rate agency.,54,13,7,0,TikTok,8287
75,user_21,2025-05-30 02:21:10,Box order religious.,59,11,6,0,TikTok,12084
76,user_31,2025-06-23 00:42:56,Certainly hear race growth but bill set budget tough sense raise kid crime.,50,11,15,0,Twitter,6817
77,user_33,2025-06-14 06:19:52,Speak positive poor require.,41,12,7,0,Twitter,12259
78,user_39,2025-06-21 17:37:31,Ago sort car test let.,51,8,7,0,Instagram,5949
79,user_8,2025-06-18 05:49:15,Majority particularly whose amount property fact human out single however.,52,11,7,0,TikTok,9606
80,user_39,2025-06-08 12:26:58,Rise affect property.,56,9,7,0,Instagram,3894
81,user_43,2025-06-13 08:28:03,Industry conference only my property dinner maybe fight production.,54,6,10,1,Instagram,6245
82,user_14,2025-06-10 13:59:15,Father stock knowledge fear Democrat concern pass better writer seat move speech several Congress western certain religious easy.,59,19,11,1,Twitter,14331
83,user_17,2025-06-25 14:59:56,First skill budget wish people issue speech.,40,12,6,0,TikTok,9169
84,user_42,2025-06-18 03:49:42,Trouble exactly look world others many adult relationship.,37,10,6,1,Instagram,9923
85,user_49,2025-05-30 16:16:18,Behavior account much message open owner politics last.,41,11,4,0,Instagram,9192
86,user_40,2025-05-29 03:27:30,Include machine huge Mrs who scientist step career author reality plant skin entire anything American smile.,38,6,7,0,Twitter,9741
87,user_35,2025-06-20 04:41:12,Discussion return morning specific culture form value.,64,10,13,1,Twitter,6905
88,user_23,2025-06-17 09:32:32,Security allow cost tax field Republican information.,57,10,8,0,Instagram,8412
89,user_19,2025-06-19 20:40:05,In very follow religious somebody candidate hour.,45,12,10,1,TikTok,5101
90,user_46,2025-06-26 03:54:39,Choice expert parent conference know usually event put dog away walk.,52,7,8,0,TikTok,8281
91,user_36,2025-06-22 23:58:47,Computer someone task Mrs conference.,59,9,9,0,Twitter,9859
